"Name","Occupation","Time.Spotted"
" Lesley Stahl"," TV news correspondent",2018-07-21 07:16:00
" Benjamin Bratt"," actor",2018-10-07 11:26:30
" Hallee Hirsh"," actress",2018-06-22 14:52:30
" Gene Rayburn"," TV personality",2018-03-30 09:17:40
" Ernie Hudson"," actor",2018-02-20 23:32:00
" Bill Pullman"," actor",2018-02-15 08:54:40
" Ty Cobb"," MLB baseball player",2018-06-27 02:30:30
" Betty Grable"," actress",2018-03-28 18:59:10
" Steven Spielberg"," director",2018-03-27 11:32:50
" Brad Pitt"," actor",2018-08-19 06:09:00
" Stone Cold Steve Austin"," WWF wrestler",2018-03-26 10:23:40
" Katie Holmes"," actress",2018-07-20 08:03:10
" Christina Aguilera"," singer",2018-12-08 00:50:40
" Sir William Parry"," Arctic explorer",2018-08-02 19:19:00
" Leonid Brezhnev"," Soviet leader",2018-11-15 16:16:50
" David Susskind"," TV journalist",2018-01-16 05:14:40
" Cicely Tyson"," actress",2018-12-04 03:13:50
" Tim Reid"," actor",2018-09-21 04:32:30
" Robert Urich"," actor",2018-08-13 19:51:30
" Reggie White"," NFL football player",2018-02-19 15:58:20
" Alyssa Milano"," actress",2018-06-23 01:57:50
" Harvey Firestone"," tire manufacturer",2018-04-28 12:14:30
" Irene Dunne"," actress",2018-07-26 12:05:00
" Jenny Agutter"," actress",2018-03-23 17:24:50
" Kiefer Sutherland"," actor",2018-08-18 21:21:30
" Joseph Stalin"," Soviet Russia Dictator",2018-05-07 20:26:30
" Walter Hagen"," golfer",2018-12-08 12:56:20
" Joe Paterno"," Penn State football coach",2018-08-11 08:45:10
" Phil Donahue"," TV talk show host",2018-07-16 21:39:40
" Jane Fonda"," actress",2018-11-08 22:29:10
" Frank Zappa"," musician",2018-02-28 02:54:30
" Chris Evert"," champion tennis player",2018-08-21 20:48:10
" Ray Romano"," actor and comedian",2018-08-28 18:31:40
" Florence Griffith Joyner"," champion Olympic  sprinter",2018-02-11 10:38:40
" Peggy Ashcroft"," actress",2018-10-02 00:26:20
" Lady Bird Johnson"," First Lady of the United States",2018-03-18 23:31:40
" Barbara Billingsley"," actress",2018-06-02 22:56:00
" Diane Sawyer"," TV news correspondent",2018-03-05 20:42:50
" Maurice Gibb"," member of the Bee Gees",2018-03-12 14:20:00
" Robin Gibb"," member of the Bee Gees",2018-08-23 13:45:00
" Jan Stephenson"," LPGA golfer",2018-01-08 15:37:40
" Ted Cruz"," politician",2018-12-23 15:50:10
" Joseph Smith"," founded the Mormon Church",2018-09-19 20:57:10
" Harriet Monroe"," poet",2018-12-07 08:14:50
" Robert Bly"," author",2018-01-24 17:42:20
" Harry Shearer"," actor",2018-01-07 09:28:30
" Susan Lucci"," Emmy winning actress",2018-10-28 23:42:30
" Kit Carson"," frontiersman",2018-12-11 09:59:00
" James Prescott Joule"," physicist",2018-03-12 01:56:40
" Howard Hughes"," industrialist",2018-06-10 20:48:10
" I. F. Stone"," journalist",2018-11-21 05:34:40
" Ava Gardner"," actress",2018-02-05 08:57:30
" Mary Higgins Clark"," author",2018-07-21 10:18:10
" Ricky Martin"," singer",2018-12-11 00:01:40
" Ryan Seacrest"," host of American Idol",2018-01-26 18:33:50
" Sir Isaac Newton"," scientist",2018-12-25 05:57:00
" Clara Barton"," nurse",2018-12-27 20:17:20
" Humphrey Bogart"," actor",2018-05-29 05:51:50
" Cab Calloway"," singer",2018-12-09 08:25:20
" Anwar Sadat"," Egyptian President",2018-02-06 09:41:00
" Rod Serling"," host of The Twilight Zone",2018-08-13 21:55:10
" Jimmy Buffett"," singer",2018-08-30 22:20:40
" Larry Csonka","  NFL Miami Dolphins Fullback",2018-01-20 12:05:50
" Barbara Mandrell"," singer",2018-01-09 00:47:40
" Sissy Spacek"," actress",2018-09-17 06:21:40
" Norm McDonald"," actor",2018-04-13 00:42:30
" Dido"," singer",2018-09-25 10:36:20
" Mao Zedong"," Chinese Communist Leader",2018-07-20 08:45:20
" Richard Widmark"," actor",2018-11-20 19:53:30
" Steve Allen"," TV personality",2018-09-19 09:50:40
" Susan Butcher"," sled dog racer",2018-07-26 10:00:40
" Jared Leto"," actor",2018-03-11 07:40:20
" Johannes Kepler"," astronomer",2018-01-30 15:47:30
" chemist","",2018-10-13 06:26:10
" Cokie Roberts"," TV journalist",2018-09-10 08:36:00
" John Molson"," founded the Molson brewery",2018-10-21 01:28:00
" Woodrow Wilson"," 28th U.S. President (1913",2018-06-18 22:58:50
" Maggie Smith"," actress",2018-02-25 04:31:10
" Denzel Washington"," actor",2018-02-22 21:57:10
" Malcolm Gets"," actor",2018-02-06 16:03:40
" Andrew Johnson"," 17th U.S. President",2018-04-14 03:04:20
" Mary Tyler Moore"," actress",2018-01-13 20:06:40
" Jon Voight"," actor",2018-04-16 19:35:20
" Ted Danson"," actor on  TV series Cheers",2018-03-17 06:13:40
" Rudyard Kipling"," writer",2018-02-01 02:43:20
" Simon Guggenheim"," industrialist and philanthropist",2018-08-09 16:42:20
" Bert Parks"," TV personality",2018-11-13 15:03:30
" Bo Diddley"," singer and songwriter",2018-08-18 23:39:20
" Sandy Koufax"," MLB baseball pitcher",2018-05-02 08:22:20
" Joseph Bologna"," actor",2018-06-21 23:46:40
" Michael Nesmith"," member of the Monkees",2018-11-08 14:40:30
" Davy Jones"," member of the Monkees",2018-10-17 05:52:50
" Matt Lauer"," Today Show TV anchor",2018-01-07 16:22:40
" Tracey Ullman"," actress",2018-03-15 12:07:50
" Julianne Moore"," actress",2018-03-24 09:59:10
" Tiger Woods"," PGA golfer",2018-04-27 12:54:40
" Henri Matisse"," painter",2018-07-24 11:29:10
" George Marshall"," Secretary of State",2018-02-01 07:33:40
" Anthony Hopkins"," actor",2018-03-23 14:04:20
" Sarah Miles"," actress",2018-01-01 07:01:00
" John Denver"," singer",2018-03-26 00:37:20
" Ben Kingsley"," actor",2018-12-19 04:15:20
" Tim Matheson"," actor",2018-02-04 20:29:50
" Donna Summer"," singer",2018-12-23 17:59:40
" Val Kilmer"," actor",2018-06-25 09:15:50
